date,จับกลุ่มทำการบ้านกับเพื่อน,ทำการบ้าน,ทำความสะอาดบ้าน,ทำธุระนอกบ้าน,ประชุมงานกลุ่ม,พรีเซนต์ assignment 2 วิชา 01204314,พักผ่อน,รับประทานอาหาร,สอบกลางภาควิชา 01204322,สอบกลางภาควิชา 01204421,สอบกลางภาควิชา eng4,สัมภาษณ์ฝึกงาน,เข้าร่วมกิจกรรม job-fair,เดินทางกลับบ้าน,เดินทางไปจังหวัดนนทบุรี,เตรียมตัวพรีเซนต์ assignment 2 วิชา 01204314,เตรียมตัวสอบ,เรียนหนังสือ,เล่นอินเทอร์เน็ต,ไปซื้อของที่ห้างแถวบ้าน,ไปทำธุระที่บ้านญาติ,ไปมหาวิทยาลัยเกษตรศาสตร์,ไปวัด,ไปสัมภาษณ์ฝึกงานที่บริษัท
2022-01-04,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,240.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0,240.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0
2022-01-08,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.0,240.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,240.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,240.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
